Node,Eigenvector Centrality,Degree Centrality,Closeness Centrality,Betweenness Centrality,stop_id,clust,stop_lat,stop_lon,stop_name
3.0,0.0013539578394654215,0.0017574692442882249,0.07058239781678348,0.0035279224302229057,1302216,3,60.18696,24.8681,Kuusiniementie
30.0,0.00025445548089406887,0.0017574692442882249,0.06596336656619523,0.0017828188446455922,1302218,30,60.184553,24.857309,Kuusisaarenkuja
4.0,0.0012719011355192625,0.0017574692442882249,0.07049495137211174,0.003477223229508171,1302217,4,60.18716,24.86985,Kuusiniementie
687.0,0.006977235953790296,0.0017574692442882249,0.07579592380444918,0.005222326815085485,1301215,687,60.192436,24.880264,Saunalahti
5.0,0.00015960733220046286,0.0026362038664323375,0.07369511721279627,0.0092740305783605,1310142,5,60.15653,24.88541,Heikkiläntie
5.0,0.00015960733220046286,0.0026362038664323375,0.07369511721279627,0.0092740305783605,1310143,5,60.15661,24.8856,Heikkiläntie
11.0,2.9113382808214493e-05,0.0017574692442882249,0.06869077080944046,0.007528614171059594,1310145,11,60.15336,24.88507,Vattuniemenkuja
11.0,2.9113382808214493e-05,0.0017574692442882249,0.06869077080944046,0.007528614171059594,1320199,11,60.153323,24.884999,Vattuniemenkuja
16.0,0.00045319737260823313,0.0026362038664323375,0.07947482366087018,0.016472816565095288,1310104,16,60.16085,24.88663,Koillisväylä
16.0,0.00045319737260823313,0.0026362038664323375,0.07947482366087018,0.016472816565095288,1310141,16,60.159713,24.887872,Pajalahdentie
6.0,2.273030410289732e-06,0.0017574692442882249,0.06055446176767945,0.0012222423164176684,1310129,6,60.15365,24.87722,Särkiniementie
6.0,2.273030410289732e-06,0.0017574692442882249,0.06055446176767945,0.0012222423164176684,1310130,6,60.1539,24.8764,Särkiniementie
12.0,6.43843073316464e-07,0.0026362038664323375,0.057139987949387426,6.163692026498134e-05,1310131,12,60.15394,24.88144,Kiviaidankatu
12.0,6.43843073316464e-07,0.0026362038664323375,0.057139987949387426,6.163692026498134e-05,1532143,12,60.15414,24.879996,Heikkilänpolku
14.0,1.2246551402586576e-05,0.0035149384885764497,0.06441023318994793,0.005863265403911859,1310109,14,60.15817,24.87228,Lauttasaaren kirkko
14.0,1.2246551402586576e-05,0.0035149384885764497,0.06441023318994793,0.005863265403911859,1310110,14,60.15792,24.87184,Lauttasaaren kirkko
14.0,1.2246551402586576e-05,0.0035149384885764497,0.06441023318994793,0.005863265403911859,1310127,14,60.15759,24.87384,Hevosenkenkäpuisto
14.0,1.2246551402586576e-05,0.0035149384885764497,0.06441023318994793,0.005863265403911859,1310128,14,60.15729,24.87399,Hevosenkenkäpuisto
7.0,5.505034517611839e-06,0.0026362038664323375,0.0643374038896427,0.005796520288917499,1310146,7,60.15126,24.88587,Nahkahousuntie
7.0,5.505034517611839e-06,0.0026362038664323375,0.0643374038896427,0.005796520288917499,1310200,7,60.150452,24.886015,Nahkahousuntie
8.0,1.0842608154666192e-06,0.0017574692442882249,0.060506167588260315,0.0005944164781823953,1310133,8,60.15089,24.88264,Melkonkatu
9.0,2.93852187839793e-07,0.0017574692442882249,0.05710271463696121,1.2365658710910993e-05,1310134,9,60.15206,24.88245,Melkonkatu
10.0,1.0225419967020127e-06,0.0017574692442882249,0.060483656656922666,0.0017342836342052667,1310137,10,60.149985,24.881588,Melkonkuja
13.0,0.0022389205386446356,0.0035149384885764497,0.08608169440242057,0.03797025661612425,1310101,13,60.16126,24.89056,Lauttasaaren silta
13.0,0.0022389205386446356,0.0035149384885764497,0.08608169440242057,0.03797025661612425,1310102,13,60.16113,24.89116,Lauttasaaren silta
13.0,0.0022389205386446356,0.0035149384885764497,0.08608169440242057,0.03797025661612425,1310139,13,60.16131,24.89126,Lauttasaaren silta
17.0,0.0004229000865137742,0.0017574692442882249,0.07934183922470892,0.005469794560037792,1310140,17,60.158869,24.886624,Pajalahdentie
18.0,0.0004250547121424726,0.0017574692442882249,0.07941381716678297,0.01094095817514715,1310103,18,60.16068,24.88418,Koillisväylä
995.0,0.011397428508574448,0.004393673110720562,0.09384019130865012,0.04136725027423424,1201131,995,60.16338,24.9044,Salmisaari
995.0,0.011397428508574448,0.004393673110720562,0.09384019130865012,0.04136725027423424,1201132,995,60.16338,24.90505,Salmisaari
22.0,3.245677803173601e-05,0.0017574692442882249,0.06875717479306387,0.003771982258518372,1310205,22,60.159182,24.8747,Lahnalahden p.
24.0,2.2657072264684722e-06,0.0017574692442882249,0.060548018089917534,0.001190194650925219,1310111,24,60.1568,24.86791,Kuikkarinne
24.0,2.2657072264684722e-06,0.0017574692442882249,0.060548018089917534,0.001190194650925219,1310112,24,60.15688,24.86863,Kuikkarinne
15.0,3.134102423807464e-05,0.0017574692442882249,0.06873640976081179,0.007558508887044343,1310124,15,60.16161,24.8697,Lahnalahdentie
15.0,3.134102423807464e-05,0.0017574692442882249,0.06873640976081179,0.007558508887044343,1310225,15,60.1614,24.87051,Lahnalahdentie
20.0,0.00017182628993003352,0.004393673110720562,0.07375721044785793,0.020286312106429536,1310105,20,60.16055,24.87946,Lauttasaarentie
20.0,0.00017182628993003352,0.004393673110720562,0.07375721044785793,0.020286312106429536,1310106,20,60.160291,24.881229,Lauttasaarentie
19.0,0.007399591905850171,0.0008787346221441124,0.09343952705476641,0.0,1310601,19,60.159362,24.87857,Lauttasaari
19.0,0.007399591905850171,0.0008787346221441124,0.09343952705476641,0.0,1310602,19,60.159443,24.8785,Lauttasaari
1000.0,0.04196992776712219,0.005272407732864675,0.10306103966672704,0.04879221882075764,1201107,1000,60.162674,24.916438,Selkämerenkatu
1000.0,0.04196992776712219,0.005272407732864675,0.10306103966672704,0.04879221882075764,1201130,1000,60.16431,24.91405,Länsiväylä
1000.0,0.04196992776712219,0.005272407732864675,0.10306103966672704,0.04879221882075764,1201135,1000,60.16338,24.91418,Ruoholaht
1000.0,0.04196992776712219,0.005272407732864675,0.10306103966672704,0.04879221882075764,1201136,1000,60.16335,24.91484,Ruoholaht
1000.0,0.04196992776712219,0.005272407732864675,0.10306103966672704,0.04879221882075764,1201431,1000,60.16335,24.91484,Ruoholaht
1000.0,0.04196992776712219,0.005272407732864675,0.10306103966672704,0.04879221882075764,1201432,1000,60.16338,24.91418,Ruoholaht
1000.0,0.04196992776712219,0.005272407732864675,0.10306103966672704,0.04879221882075764,1201601,1000,60.162714,24.913852,Ruoholahti
1000.0,0.04196992776712219,0.005272407732864675,0.10306103966672704,0.04879221882075764,1201602,1000,60.162714,24.913852,Ruoholahti
1000.0,0.04196992776712219,0.005272407732864675,0.10306103966672704,0.04879221882075764,1201113,1000,60.163335,24.915131,Ruoholahti
21.0,3.245677803173601e-05,0.0017574692442882249,0.06875717479306387,0.003771982258518372,1310126,21,60.16071,24.87498,Lahnalahden puisto
25.0,6.02316774974041e-07,0.0017574692442882249,0.057122778837466116,2.5632980036159242e-05,1310113,25,60.15688,24.86445,Takaniementie
25.0,6.02316774974041e-07,0.0017574692442882249,0.057122778837466116,2.5632980036159242e-05,1310114,25,60.15665,24.86538,Takaniementie
26.0,1.1499534328070952e-06,0.0017574692442882249,0.060515820260568995,0.0005971582685810948,1310115,26,60.15934,24.86085,Viklakuja
26.0,1.1499534328070952e-06,0.0017574692442882249,0.060515820260568995,0.0005971582685810948,1310116,26,60.1583,24.86154,Viklakuja
28.0,5.919085821869683e-06,0.0026362038664323375,0.06435559576994854,0.005832082598478068,1310117,28,60.16207,24.85976,Vaskiniementie
28.0,5.919085821869683e-06,0.0026362038664323375,0.06435559576994854,0.005832082598478068,1310118,28,60.16182,24.85971,Vaskiniementie
28.0,5.919085821869683e-06,0.0026362038664323375,0.06435559576994854,0.005832082598478068,1310299,28,60.16235,24.86092,Katajaharju
27.0,1.0772362533410414e-06,0.0017574692442882249,0.06047401424168349,0.0017574692442882249,1310119,27,60.16521,24.85843,Koivusaarentie
27.0,1.0772362533410414e-06,0.0017574692442882249,0.06047401424168349,0.0017574692442882249,1310120,27,60.16492,24.85843,Koivusaarentie
29.0,1.8995894671510365e-07,0.0008787346221441124,0.057028313705838135,0.0,1310121,29,60.16819,24.85737,Katajaharju
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303100,32,60.180423,24.850458,Lehtisaarentie
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303102,32,60.1804,24.8493,Lehtisaarentie
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303103,32,60.177205,24.853608,Kalkkipaadenpuisto
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303104,32,60.177125,24.853385,Kalkkipaadenpuisto
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303105,32,60.17854,24.8528,Hiidenkiukaantie
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303107,32,60.179735,24.85213,Hiidenkiukaantie
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303108,32,60.179217,24.851467,Hiidenkiukaantie
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303112,32,60.1807,24.85085,Papinpöydänkuja
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303113,32,60.1807,24.85064,Papinpöydänkuja
32.0,8.99289114518126e-05,0.0026362038664323375,0.06191175670529351,0.0017706077566685674,1303114,32,60.18153,24.849633,Lehtisaarentie
31.0,0.00023999488856370977,0.0017574692442882249,0.0658869847151459,0.0017383024732863126,1302219,31,60.18488,24.85935,Kuusisaarenkuja
35.0,1.584787440699325e-05,0.0008787346221441124,0.05830515421662055,0.0,1303111,35,60.180475,24.846967,Lehdesniityntie
39.0,5.709827511286158e-14,0.0017574692442882249,0.0427867804639621,0.0017574692442882249,1492126,39,60.161187,25.08553,Jollaksentie 62
45.0,3.133132340019925e-13,0.0035149384885764497,0.04469405388421962,0.005266224903509219,1492122,45,60.164225,25.077224,Jollaksentie
45.0,3.133132340019925e-13,0.0035149384885764497,0.04469405388421962,0.005266224903509219,1492123,45,60.164216,25.077242,Jollaksentie
