stop_id,stop_id_to,travel_duration
044369,088453,17.703437921110314
088453,044369,17.703437921110314
CSF04632,F04631,11.920164148653429
F04631,CSF04632,11.920164148653429
CSF04632,F04632,11.9201600901624
F04632,CSF04632,11.9201600901624
F04631,F04632,23.84032423865457
F04632,F04631,23.84032423865457
CSF04636,F04635,10.956827459006785
F04635,CSF04636,10.956827459006785
CSF04636,F04636,10.96224342381019
F04636,CSF04636,10.96224342381019
F04635,F04636,21.919066564340607
F04636,F04635,21.919066564340607
CSF04634,F04633,12.181609003853032
F04633,CSF04634,12.181609003853032
CSF04634,F04634,12.181607539014427
F04634,CSF04634,12.181607539014427
F04633,F04634,24.363216542709967
F04634,F04633,24.363216542709967
008809,008811,7.100663572930335
008811,008809,7.100663572930335
009749,CSF04627,11.793311234228675
CSF04627,009749,11.793311234228675
009749,F04627,11.219041085828737
F04627,009749,11.219041085828737
009749,F04628,12.372749305233933
F04628,009749,12.372749305233933
CSF04627,F04627,0.627466731648187
F04627,CSF04627,0.627466731648187
CSF04627,F04628,0.627466860399829
F04628,CSF04627,0.627466860399829
F04627,F04628,1.2549335919094915
F04628,F04627,1.2549335919094915
CSF04619,F04619,0.654829979735361
F04619,CSF04619,0.654829979735361
CSF04619,F04620,0.6751960542226141
F04620,CSF04619,0.6751960542226141
F04619,F04620,1.3300033133929774
F04620,F04619,1.3300033133929774
CSF04618,F04617,7.3939286828854325
F04617,CSF04618,7.3939286828854325
CSF04618,F04618,7.39941066795015
F04618,CSF04618,7.39941066795015
F04617,F04618,14.79332423911882
F04618,F04617,14.79332423911882
CSF04621,F04621,1.7596620885464733
F04621,CSF04621,1.7596620885464733
CSF04621,F04622,1.780202107640547
F04622,CSF04621,1.780202107640547
F04621,F04622,3.539856666267025
F04622,F04621,3.539856666267025
009755,CSF04623,7.421164684444267
CSF04623,009755,7.421164684444267
009755,F04623,5.954123749782206
F04623,009755,5.954123749782206
009755,F04624,8.957308475198445
F04624,009755,8.957308475198445
CSF04623,F04623,1.6701348278855719
F04623,CSF04623,1.6701348278855719
CSF04623,F04624,1.673224737627682
F04624,CSF04623,1.673224737627682
F04623,F04624,3.34332811833117
F04624,F04623,3.34332811833117
009019,009020,6.5689019227493555
009020,009019,6.5689019227493555
009019,CSF04676,15.267907803792584
CSF04676,009019,15.267907803792584
009019,F04676,15.194129249671027
F04676,009019,15.194129249671027
009019,F04677,15.370291756584892
F04677,009019,15.370291756584892
009020,CSF04676,8.87104155602575
CSF04676,009020,8.87104155602575
009020,F04676,8.709417889669531
F04676,009020,8.709417889669531
009020,F04677,9.089372092137486
F04677,009020,9.089372092137486
CSF04676,F04676,0.8078891747568634
F04676,CSF04676,0.8078891747568634
CSF04676,F04677,0.8115144161101299
F04677,CSF04676,0.8115144161101299
F04676,F04677,1.6193405116811033
F04677,F04676,1.6193405116811033
009021,040595,10.399091449041956
040595,009021,10.399091449041956
009021,F04679,21.891436033125125
F04679,009021,21.891436033125125
040595,F04679,13.559706562592938
F04679,040595,13.559706562592938
009759,009760,5.341572313508694
009760,009759,5.341572313508694
009759,CSF04672,16.955496230506753
CSF04672,009759,16.955496230506753
009759,F04672,15.541748852404593
F04672,009759,15.541748852404593
009759,F04673,24.634771287930715
F04673,009759,24.634771287930715
009760,CSF04672,13.373710211029104
CSF04672,009760,13.373710211029104
009760,F04672,10.20162920776012
F04672,009760,10.20162920776012
009760,F04673,22.95214334825865
